French,English
partie,part
chercher,search
seulement,only
pensais,thought
aide,help
frère,brother
laisser,let
car,because
mettre,to put
laisse,leash
ville,city
parlé,speak
arrivé,come
bébé,baby
longtemps,long time
heures,hours
pendant,while
revoir,meet again
aucune,any
parle,speak
compris,understood
attention,Warning
voici,here is
affaire,case
donner,give
leurs,their
train,train
corps,body
yeux,eyes
dont,whose
trouve,find
perdu,lost
main,hand
première,first
côté,side
pouvoir,power
matin,morning
tellement,so much
enfant,child
venu,came
venez,come
vers,towards
minutes,minutes
demandé,request
chambre,bedroom
droit,law
aimerais,would like to
aujourd'hui,today
mari,husband
enfin,finally
espère,hope
attendez,Wait
parti,left
boulot,job
compte,account
croire,believe
gros,large
aura,will have
bureau,office
